Designator,Footprint,Quantity,Value,Unit cost,Total cost,Total cost (after tax),LCSC Part #,LCSC Link,Cost PCB SMD JLCPCB (without TMR_1-0515),Total Cost PCB Production
"C4, C5",402,2,C,$ 0.0342,$ 1.71,$0.80,C1691,https://www.lcsc.com/product-detail/C1691.html?s_z=n_q_CL10A106MQ8NNNC&spm=wm.fly.bg.0.xh&lcsc_vid=FlhXBFACR1haBgdeEVUKAQZSR1kMUFIEFQAKVFZRFAMxVlNeQ1dbXlZQRlFXUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4%3D,,
J1,USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,1,USB_C_Receptacle_PowerOnly_6P,$ 0.9285,$ 0.93,$1.13,C3151650,https://www.lcsc.com/product-detail/C3151650.html?s_z=n_q_x_USB4125-GF-A&spm=wm.ssy.em.0.tz&lcsc_vid=FlhXBFACR1haBgdeEVUKAQZSR1kMUFIEFQAKVFZRFAMxVlNeQ1dfX11URlhbVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlhXSQwSGg0%3D,,
"J2, J3, J5, J6, J7",PinSocket_1x02_P2.54mm_Horizontal,5,Conn_01x02_Socket,$ 0.1327,$ 0.66,$0.80,C49326035,https://www.lcsc.com/product-detail/C49326035.html?s_z=n_q_BX-PM2.54-1-2PWZ&spm=wm.fly.bg.0.stp&lcsc_vid=FlhXBFACR1haBgdeEVUKAQZSR1kMUFIEFQAKVFZRFAMxVlNeQ1dfX1xeRVhaVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVRXV1FIHxUDCw%3D%3D,,
"R1, R2",402,2,R,$0.0068,$0.68,$0.82,C25905,https://www.lcsc.com/product-detail/C25905.html?s_z=n_q_0402WGF5101TCE&spm=wm.fly.bg.0.stp&lcsc_vid=FlhXBFACR1haBgdeEVUKAQZSR1kMUFIEFQAKVFZRFAMxVlNeQ1dfX1xXTlFcVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4%3D,,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,$ 0.2004,$ 1.00,$ 1.21,C6186,https://www.lcsc.com/product-detail/C6186.html?s_z=n_q_AMS1117-3.3&spm=wm.fly.bg.0.stp&lcsc_vid=FlhXBFACR1haBgdeEVUKAQZSR1kMUFIEFQAKVFZRFAMxVlNeQ1dcV1FQQVJXVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRFBbVlJTR08GEwkK,,
U4,Converter_DCDC_TRACO_TMR-1-xxxx_Single_THT,1,TMR_1-0512,$ 13.8133,$ 13.8133,$16.71,C5962267,https://www.lcsc.com/product-detail/C5962267.html?s_z=n_q_TMR_1-0512&spm=wm.fly.bg.0.stp&lcsc_vid=FlhXBFACR1haBgdeEVUKAQZSR1kMUFIEFQAKVFZRFAMxVlNeQ1dcV1FeQVhWXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQVBWUUoOAwwC,,
U5,Converter_DCDC_TRACO_TMR-1-xxxx_Single_THT,1,TMR_1-0515,$ 22.9930,$ 22.9930,$27.82,C7362911,https://www.lcsc.com/product-detail/C7362911.html?s_z=n_q_TMR_1-0515&spm=wm.fly.bg.0.xh&lcsc_vid=FlhXBFACR1haBgdeEVUKAQZSR1kMUFIEFQAKVFZRFAMxVlNeQ1dcV1JUTlhaVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXR1JcSQwSGg0%3D,,
U6,SOT-223-3_TabPin2,1,AP7361C-12E,$ 0.2738,$ 1.37,$1.66,C7076956,https://www.lcsc.com/product-detail/C7076956.html?s_z=n_q_AP7361C-12E&spm=wm.fly.bg.0.stp&lcsc_vid=FlhXBFACR1haBgdeEVUKAQZSR1kMUFIEFQAKVFZRFAMxVlNeQ1dcV1JQT1BaVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRFZWSQwSGg0%3D,,
PCB (no TMR_1-0515),,,,,,,,,$111.46,
PCB (Complete),,,,,,,,,,$134.45
